EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,OverTime,JobSatisfaction,Attrition
EMP0001,57,Male,Research & Development,Software Engineer,77003,8,5,No,2,Yes
EMP0002,57,Male,Marketing,Marketing Specialist,72406,12,3,Yes,4,No
EMP0003,47,Female,Human Resources,HR Specialist,61312,10,4,Yes,1,Yes
EMP0004,48,Male,Research & Development,Research Scientist,88108,8,5,Yes,4,No
EMP0005,26,Female,Sales,Sales Executive,41382,4,2,No,2,Yes
EMP0006,41,Male,Sales,Sales Executive,74171,12,1,No,3,No
EMP0007,32,Male,Sales,Sales Representative,81779,10,3,Yes,3,No
EMP0008,31,Male,Finance,Financial Analyst,51292,9,2,No,4,No
EMP0009,27,Female,Research & Development,Research Scientist,86779,4,4,No,2,No
EMP0010,29,Male,Human Resources,HR Specialist,71187,5,0,Yes,3,No
EMP0011,44,Female,Sales,Sales Representative,52411,5,4,No,3,No
EMP0012,47,Male,Marketing,Marketing Specialist,53422,8,5,Yes,1,Yes
EMP0013,33,Female,Finance,Financial Analyst,80371,7,1,Yes,2,Yes
EMP0014,47,Male,Sales,Sales Representative,45693,9,5,No,3,No
EMP0015,34,Female,Sales,Sales Representative,73535,12,3,Yes,3,No
EMP0016,39,Female,Sales,Sales Executive,54818,8,3,No,3,No
EMP0017,46,Female,Research & Development,Research Scientist,76238,2,1,No,2,No
EMP0018,54,Female,Research & Development,Laboratory Technician,75874,10,2,No,3,No
EMP0019,33,Female,Research & Development,Research Scientist,71715,11,2,No,3,No
EMP0020,57,Female,Sales,Sales Representative,67605,4,3,No,3,No
EMP0021,25,Male,Research & Development,Software Engineer,79317,3,3,No,4,No
EMP0022,26,Male,Sales,Sales Representative,71174,4,0,No,3,No
EMP0023,29,Female,Sales,Sales Representative,49956,2,2,No,3,No
EMP0024,49,Female,Research & Development,Software Engineer,83908,7,1,No,2,No
EMP0025,52,Female,Research & Development,Laboratory Technician,55837,3,2,No,3,No
EMP0026,30,Male,Human Resources,HR Specialist,41716,8,0,Yes,2,No
EMP0027,50,Male,Sales,Sales Executive,44481,3,3,Yes,3,No
EMP0028,35,Male,Research & Development,Laboratory Technician,69282,11,3,Yes,3,No
EMP0029,43,Female,Research & Development,Research Scientist,51548,2,2,No,4,No
EMP0030,32,Male,Sales,Sales Representative,77605,10,0,No,1,Yes
EMP0031,44,Male,Research & Development,Research Scientist,52758,8,1,No,3,No
EMP0032,22,Male,Sales,Sales Representative,83668,0,0,No,3,No
EMP0033,42,Male,Sales,Sales Representative,63177,1,1,No,1,Yes
